Lien multi :,https://www.op.gg/multisearch/euw?summoners=Tayme%23EUW%2CAirGanga%2331405%2CZoogieWoogie%23EUW%2CNikzebi%236969%2CPPG+Ozen%233131%2C,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,AirGanga,PPG Ozen,Tayme,ZoogieWoogie / Nikzebi,ZoogieWoogie / Nikzebi
Elo :,E1,E1,Master (100lp),D3,D3
Main champ :,Darius,Diana,Corki,Jinx,Zilean
,,,,,
Equipe :,La Ruche,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Colfeo%23euw%2Cclimber%23euw%2CSam%23347%2C%2CASH+Thib%2300000%2Ckillycurly%23smurf,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Colfeo,Mad,Sam,Thib,KillyCurly
Elo :,Diamant,Master,Master,Grandmaster,Master
Main champ :,,,,,
,,,,,
Equipe :,ALTEN,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=RAYLLO%23EUW%2CALTN+Straycker%231631%2CMaelstrom%23ALTEN%2CDtucker%23RSBF%2CXe%C3%B1or%23euw,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Dtucker,ALTN Straycker,Xenor,Maelstrom,Rayllo
Elo :,Master (1lp),E4,D3,D4,D1
Main champ :,,,,,
,,,,,
Equipe :,Gabriel AttalesCrampt%C3%A9s,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=J%C3%A5de+%C3%98rlaBite%2CArchimax+%2CMG+MaTy%23JGL%2CXintox%23NERV%2CLuckylechanceux,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,luckylechanceu,Maty,Archimax,Jadoralbite,Xintox
Elo :,Plat,D2,Master,E1,Master
Main champ :,,,,,
,,,,,
Equipe :,KittyKatDolls,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Fat+And+Furious%238686%2CJuads%23KKD%2CVanot%23EUW2%2CAshiboy%23EUW%2CY%CE%BFurObsession%23EUW,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Fat and Furious,Your Obsession,Ashiboy,Vanot,Juads
Elo :,Gold,E1,P4,E4,G3
Main champ :,,,Orianna,MF,
