Equipe :,ALTN Ruby,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=maxirat%23euw%2Cmaelstrom%23alten%2Ctemplary%23euw%2Clord+troll%23alten%2CMCU+D+Ast%23EUW,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,MaxiRat,Maelstrom,Templary,MCU D Ast,Lord Troll
Elo :,Diamant,Master,Emeraude,Diamant,Emeraude
Main champ :,Ksante,,,
,,,,,
Equipe :,ALTN Saphir,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=ALTN+Straycker%2CALTN+RADYN%2CAzizirLabelRouge%2CGoldenMazoute%2CSunMVP%23ALTN,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Golden Mazoute,ALTN Straycker,Azizir LabelRouge,ALTN Radyn,SunMVP
Elo :,Emeraude,Emeraude,Emeraude,Emeraude,Platine
Main champ :,,,Azir,,
,,,,,
Equipe :,EC Emerald,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Twitchdartien%23Euw%2CRudy%23JPG%2CCygola%23EUW%2Cmaro%23VRAI%2CFear+My+Sting%23Khako,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Maro,Fear My Sting,Rudy,Cygola,TwitchDartien
Elo :,Platine,Emeraude,Diamant,Emeraude,Emeraude
Main champ :,,,,,
,,,,,
Equipe :,EHPAD,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Manzaro%23COCO%2CCOCO+Belf%C3%A9gor%23EUW%2CTragua%23EUW%2CABX+Excalius%23EUW%2CCOCO+Astlan%23COCO,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Tragua,Cristo Canyon,COCO Astlan,ABX Excalius,Manzaro
Elo :,Diamant,Diamant,Diamant,Emeraude,Diamant
Main champ :,,,,,
,,,,,
Equipe :,Equality,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=GG+Tixty%23Tixty%2CTora%23SPORT%2CSenech%23EUW%2Cvilow%23MID%2CCristo+Canyon%23Siri,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Senechou,Sir Nathaniel,Vilow,Tixty,Tora
Elo :,Master,Master,Master,Master,Master
Main champ :,,,,,
,,,,,
Equipe :,Ez Clap Gaming,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=MG+Maty%2CQclickEnjoyer%238926%2CArchimax%2CAirGanga%2CPPG+Ozen,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,AirGanga,MG MaTy,Archimax,QclickEnjoyer,PPG Ozen
Elo :,Emeraude,Diamant,Master,Emeraude,Emeraude
Main champ :,,,,,
,,,,,
Equipe :,FF15,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Sparadus%23EUW%2Cf+X+t+o%23EUW31%2CLemonz+James%23EUW%2CKowski%23EUW%2CShunpo%23ARA%2CRomsito%23EUW31,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Romsito,Kowski / Shunpo,Kowski / Shunpo,Sparadus,Lemonz James
Elo :,Diamant,Diamant,Diamant,Diamant,Diamant
Main champ :,,,,,
,,,,,
Equipe :,La Ruche,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Jun+Seba%23347%2Cclimber%23EUW%2CColfeo%23EUW%2CKillycurly%23MRC%2CSeyZo%23EUW,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Colfeo,Mad,Sam,Seyzo,KillyCurly
Elo :,Diamant,Master,Master,Master,Master
Main champ :,,,,,
,,,,,
Equipe :,La team,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=KDydoux%23best%2CTPS+Nother%23euw%2CMr+Prophet%23euw%2COneSawer%23euw%2CManchou%23euww,,,,
